#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-BT-CO_00001
CL1Contig466	HCGP-BT-CO_01597
CL1Contig467	HCGP-BT-CO_01598
CL1Contig468	HCGP-BT-CO_01599
CL1Contig469	HCGP-BT-CO_01600
CL1Contig47	HCGP-BT-CO_01601
CL1Contig470	HCGP-BT-CO_01602
CL1Contig471	HCGP-BT-CO_01603
CL1Contig472	HCGP-BT-CO_01604
CL1Contig473	HCGP-BT-CO_01605
CL1Contig474	HCGP-BT-CO_01606
CL1Contig475	HCGP-BT-CO_01607
CL1Contig476	HCGP-BT-CO_01608
CL1Contig477	HCGP-BT-CO_01609
CL1Contig478	HCGP-BT-CO_01610
CL1Contig479	HCGP-BT-CO_01611
CL1Contig48	HCGP-BT-CO_01612
CL1Contig480	HCGP-BT-CO_01613
CL1Contig482	HCGP-BT-CO_01614
CL1Contig483	HCGP-BT-CO_01615
CL1Contig484	HCGP-BT-CO_01616
CL1Contig485	HCGP-BT-CO_01617
CL1Contig486	HCGP-BT-CO_01618
CL1Contig487	HCGP-BT-CO_01619
CL1Contig488	HCGP-BT-CO_01620
CL1Contig489	HCGP-BT-CO_01621
CL1Contig49	HCGP-BT-CO_01622
CL1Contig490	HCGP-BT-CO_01623
CL1Contig491	HCGP-BT-CO_01624
CL1Contig492	HCGP-BT-CO_01625
CL1Contig493	HCGP-BT-CO_01626
CL1Contig494	HCGP-BT-CO_01627
CL1Contig5	HCGP-BT-CO_01628
CL1Contig50	HCGP-BT-CO_01629
CL1Contig51	HCGP-BT-CO_01630
CL1Contig52	HCGP-BT-CO_01631
CL1Contig53	HCGP-BT-CO_01632
CL1Contig54	HCGP-BT-CO_01633
CL1Contig55	HCGP-BT-CO_01634
CL1Contig56	HCGP-BT-CO_01635
CL1Contig57	HCGP-BT-CO_01636
CL1Contig58	HCGP-BT-CO_01637
CL1Contig59	HCGP-BT-CO_01638
CL1Contig6	HCGP-BT-CO_01639
CL1Contig60	HCGP-BT-CO_01640
CL1Contig61	HCGP-BT-CO_01641
CL1Contig62	HCGP-BT-CO_01642
CL1Contig63	HCGP-BT-CO_01643
CL1Contig64	HCGP-BT-CO_01644
CL1Contig65	HCGP-BT-CO_01645
CL1Contig66	HCGP-BT-CO_01646
CL1Contig67	HCGP-BT-CO_01647
CL1Contig69	HCGP-BT-CO_01648
CL1Contig7	HCGP-BT-CO_01649
CL1Contig70	HCGP-BT-CO_01650
CL1Contig71	HCGP-BT-CO_01651
CL1Contig72	HCGP-BT-CO_01652
CL1Contig73	HCGP-BT-CO_01653
CL1Contig74	HCGP-BT-CO_01654
CL1Contig75	HCGP-BT-CO_01655
CL1Contig76	HCGP-BT-CO_01656
CL1Contig77	HCGP-BT-CO_01657
CL1Contig78	HCGP-BT-CO_01658
CL1Contig79	HCGP-BT-CO_01659
CL1Contig8	HCGP-BT-CO_01660
CL1Contig80	HCGP-BT-CO_01661
CL1Contig81	HCGP-BT-CO_01662
CL1Contig82	HCGP-BT-CO_01663
CL1Contig83	HCGP-BT-CO_01664
CL1Contig84	HCGP-BT-CO_01665
CL1Contig85	HCGP-BT-CO_01666
CL1Contig86	HCGP-BT-CO_01667
CL1Contig87	HCGP-BT-CO_01668
CL1Contig88	HCGP-BT-CO_01669
CL1Contig89	HCGP-BT-CO_01670
CL1Contig9	HCGP-BT-CO_01671
CL1Contig90	HCGP-BT-CO_01672
CL1Contig91	HCGP-BT-CO_01673
CL1Contig92	HCGP-BT-CO_01674
CL1Contig93	HCGP-BT-CO_01675
CL1Contig94	HCGP-BT-CO_01676
CL1Contig95	HCGP-BT-CO_01677
CL1Contig96	HCGP-BT-CO_01678
CL1Contig97	HCGP-BT-CO_01679
CL1Contig98	HCGP-BT-CO_01680
CL1Contig99	HCGP-BT-CO_01681
CL2000Contig1	HCGP-BT-CO_01682
CL2001Contig1	HCGP-BT-CO_01683
CL2002Contig1	HCGP-BT-CO_01684
CL2003Contig1	HCGP-BT-CO_01685
CL2004Contig1	HCGP-BT-CO_01686
CL2005Contig1	HCGP-BT-CO_01687
CL2006Contig1	HCGP-BT-CO_01688
CL2007Contig1	HCGP-BT-CO_01689
CL2008Contig1	HCGP-BT-CO_01690
CL2009Contig1	HCGP-BT-CO_01691
CL200Contig1	HCGP-BT-CO_01692
CL200Contig2	HCGP-BT-CO_01693
CL200Contig3	HCGP-BT-CO_01694
CL2010Contig1	HCGP-BT-CO_01695
CL2011Contig1	HCGP-BT-CO_01696
CL2012Contig1	HCGP-BT-CO_01697
CL2013Contig1	HCGP-BT-CO_01698
CL2014Contig1	HCGP-BT-CO_01699
CL2015Contig1	HCGP-BT-CO_01700
CL2018Contig1	HCGP-BT-CO_01701
CL2019Contig1	HCGP-BT-CO_01702
CL201Contig1	HCGP-BT-CO_01703
CL2020Contig1	HCGP-BT-CO_01704
CL2021Contig1	HCGP-BT-CO_01705
CL2022Contig1	HCGP-BT-CO_01706
CL2023Contig1	HCGP-BT-CO_01707
CL2024Contig1	HCGP-BT-CO_01708
CL2025Contig1	HCGP-BT-CO_01709
CL2026Contig1	HCGP-BT-CO_01710
CL2027Contig1	HCGP-BT-CO_01711
CL2028Contig1	HCGP-BT-CO_01712
CL2029Contig1	HCGP-BT-CO_01713
CL2030Contig1	HCGP-BT-CO_01714
CL2031Contig1	HCGP-BT-CO_01715
CL2032Contig1	HCGP-BT-CO_01716
CL2033Contig1	HCGP-BT-CO_01717
CL2034Contig1	HCGP-BT-CO_01718
CL2036Contig1	HCGP-BT-CO_01719
CL2037Contig1	HCGP-BT-CO_01720
CL2038Contig1	HCGP-BT-CO_01721
CL2039Contig1	HCGP-BT-CO_01722
CL203Contig1	HCGP-BT-CO_01723
CL2040Contig1	HCGP-BT-CO_01724
CL2041Contig1	HCGP-BT-CO_01725
CL2042Contig1	HCGP-BT-CO_01726
CL2043Contig1	HCGP-BT-CO_01727
CL2044Contig1	HCGP-BT-CO_01728
CL2045Contig1	HCGP-BT-CO_01729
CL2046Contig1	HCGP-BT-CO_01730
CL2047Contig1	HCGP-BT-CO_01731
CL2048Contig1	HCGP-BT-CO_01732
CL2049Contig1	HCGP-BT-CO_01733
CL204Contig1	HCGP-BT-CO_01734
CL2050Contig1	HCGP-BT-CO_01735
CL2051Contig1	HCGP-BT-CO_01736
CL2053Contig1	HCGP-BT-CO_01737
CL2054Contig1	HCGP-BT-CO_01738
CL2055Contig1	HCGP-BT-CO_01739
CL2056Contig1	HCGP-BT-CO_01740
CL2058Contig1	HCGP-BT-CO_01741
CL2060Contig1	HCGP-BT-CO_01742
CL2061Contig1	HCGP-BT-CO_01743
CL2062Contig1	HCGP-BT-CO_01744
CL2064Contig1	HCGP-BT-CO_01745
CL2065Contig1	HCGP-BT-CO_01746
CL2066Contig1	HCGP-BT-CO_01747
CL2067Contig1	HCGP-BT-CO_01748
CL2068Contig1	HCGP-BT-CO_01749
CL2069Contig1	HCGP-BT-CO_01750
CL206Contig1	HCGP-BT-CO_01751
CL2070Contig1	HCGP-BT-CO_01752
CL2071Contig1	HCGP-BT-CO_01753
CL2072Contig1	HCGP-BT-CO_01754
CL2073Contig1	HCGP-BT-CO_01755
CL2074Contig1	HCGP-BT-CO_01756
CL2075Contig1	HCGP-BT-CO_01757
CL2076Contig1	HCGP-BT-CO_01758
CL2077Contig1	HCGP-BT-CO_01759
CL2078Contig1	HCGP-BT-CO_01760
CL2079Contig1	HCGP-BT-CO_01761
CL207Contig1	HCGP-BT-CO_01762
CL2080Contig1	HCGP-BT-CO_01763
CL2081Contig1	HCGP-BT-CO_01764
CL2082Contig1	HCGP-BT-CO_01765
CL2083Contig1	HCGP-BT-CO_01766
CL2084Contig1	HCGP-BT-CO_01767
CL2085Contig1	HCGP-BT-CO_01768
CL2086Contig1	HCGP-BT-CO_01769
CL2087Contig1	HCGP-BT-CO_01770
CL2089Contig1	HCGP-BT-CO_01771
CL208Contig1	HCGP-BT-CO_01772
CL2090Contig1	HCGP-BT-CO_01773
CL2091Contig1	HCGP-BT-CO_01774
CL2092Contig1	HCGP-BT-CO_01775
CL2093Contig1	HCGP-BT-CO_01776
CL2094Contig1	HCGP-BT-CO_01777
CL2095Contig1	HCGP-BT-CO_01778
CL2096Contig1	HCGP-BT-CO_01779
CL2097Contig1	HCGP-BT-CO_01780
CL2098Contig1	HCGP-BT-CO_01781
CL2099Contig1	HCGP-BT-CO_01782
CL209Contig1	HCGP-BT-CO_01783
CL209Contig2	HCGP-BT-CO_01784
CL209Contig3	HCGP-BT-CO_01785
CL209Contig4	HCGP-BT-CO_01786
CL20Contig1	HCGP-BT-CO_01787
CL2100Contig1	HCGP-BT-CO_01788
CL2101Contig1	HCGP-BT-CO_01789
CL2102Contig1	HCGP-BT-CO_01790
CL2103Contig1	HCGP-BT-CO_01791
CL2104Contig1	HCGP-BT-CO_01792
CL2105Contig1	HCGP-BT-CO_01793
CL2107Contig1	HCGP-BT-CO_01794
CL2108Contig1	HCGP-BT-CO_01795
CL2109Contig1	HCGP-BT-CO_01796
CL210Contig1	HCGP-BT-CO_01797
CL2111Contig1	HCGP-BT-CO_01798
CL2112Contig1	HCGP-BT-CO_01799
CL2113Contig1	HCGP-BT-CO_01800
CL2114Contig1	HCGP-BT-CO_01801
CL2115Contig1	HCGP-BT-CO_01802
CL2116Contig1	HCGP-BT-CO_01803
CL2117Contig1	HCGP-BT-CO_01804
CL2118Contig1	HCGP-BT-CO_01805
CL2119Contig1	HCGP-BT-CO_01806
CL211Contig1	HCGP-BT-CO_01807
CL2120Contig1	HCGP-BT-CO_01808
CL2121Contig1	HCGP-BT-CO_01809
CL2122Contig1	HCGP-BT-CO_01810
CL2123Contig1	HCGP-BT-CO_01811
CL2124Contig1	HCGP-BT-CO_01812
CL2125Contig1	HCGP-BT-CO_01813
CL2126Contig1	HCGP-BT-CO_01814
CL2127Contig1	HCGP-BT-CO_01815
CL2128Contig1	HCGP-BT-CO_01816
CL2129Contig1	HCGP-BT-CO_01817
CL212Contig1	HCGP-BT-CO_01818
CL2130Contig1	HCGP-BT-CO_01819
CL2131Contig1	HCGP-BT-CO_01820
CL2132Contig1	HCGP-BT-CO_01821
CL2133Contig1	HCGP-BT-CO_01822
CL2134Contig1	HCGP-BT-CO_01823
CL2135Contig1	HCGP-BT-CO_01824
CL2136Contig1	HCGP-BT-CO_01825
CL2137Contig1	HCGP-BT-CO_01826
CL2138Contig1	HCGP-BT-CO_01827
CL2139Contig1	HCGP-BT-CO_01828
CL213Contig1	HCGP-BT-CO_01829
CL2140Contig1	HCGP-BT-CO_01830
CL2141Contig1	HCGP-BT-CO_01831
CL2142Contig1	HCGP-BT-CO_01832
CL2143Contig1	HCGP-BT-CO_01833
CL2144Contig1	HCGP-BT-CO_01834
CL2145Contig1	HCGP-BT-CO_01835
CL2147Contig1	HCGP-BT-CO_01836
CL2148Contig1	HCGP-BT-CO_01837
CL2149Contig1	HCGP-BT-CO_01838
CL214Contig1	HCGP-BT-CO_01839
CL214Contig2	HCGP-BT-CO_01840
CL2150Contig1	HCGP-BT-CO_01841
CL2151Contig1	HCGP-BT-CO_01842
CL2153Contig1	HCGP-BT-CO_01843
CL2154Contig1	HCGP-BT-CO_01844
CL2155Contig1	HCGP-BT-CO_01845
CL2156Contig1	HCGP-BT-CO_01846
CL2157Contig1	HCGP-BT-CO_01847
CL2159Contig1	HCGP-BT-CO_01848
CL215Contig1	HCGP-BT-CO_01849
CL215Contig2	HCGP-BT-CO_01850
CL2160Contig1	HCGP-BT-CO_01851
CL2161Contig1	HCGP-BT-CO_01852
CL2162Contig1	HCGP-BT-CO_01853
CL2163Contig1	HCGP-BT-CO_01854
CL2164Contig1	HCGP-BT-CO_01855
CL2165Contig1	HCGP-BT-CO_01856
CL2166Contig1	HCGP-BT-CO_01857
CL2167Contig1	HCGP-BT-CO_01858
CL2168Contig1	HCGP-BT-CO_01859
CL2169Contig1	HCGP-BT-CO_01860
CL216Contig1	HCGP-BT-CO_01861
CL2170Contig1	HCGP-BT-CO_01862
CL2171Contig1	HCGP-BT-CO_01863
CL2172Contig1	HCGP-BT-CO_01864
CL2173Contig1	HCGP-BT-CO_01865
CL2174Contig1	HCGP-BT-CO_01866
CL2175Contig1	HCGP-BT-CO_01867
CL2176Contig1	HCGP-BT-CO_01868
CL2177Contig1	HCGP-BT-CO_01869
CL2178Contig1	HCGP-BT-CO_01870
CL2179Contig1	HCGP-BT-CO_01871
CL217Contig1	HCGP-BT-CO_01872
CL2181Contig1	HCGP-BT-CO_01873
CL2182Contig1	HCGP-BT-CO_01874
CL2183Contig1	HCGP-BT-CO_01875
CL2184Contig1	HCGP-BT-CO_01876
CL2185Contig1	HCGP-BT-CO_01877
CL2186Contig1	HCGP-BT-CO_01878
CL2187Contig1	HCGP-BT-CO_01879
CL2189Contig1	HCGP-BT-CO_01880
CL218Contig1	HCGP-BT-CO_01881
CL2190Contig1	HCGP-BT-CO_01882
CL2191Contig1	HCGP-BT-CO_01883
CL2192Contig1	HCGP-BT-CO_01884
CL2193Contig1	HCGP-BT-CO_01885
CL2194Contig1	HCGP-BT-CO_01886
CL2195Contig1	HCGP-BT-CO_01887
CL2196Contig1	HCGP-BT-CO_01888
CL2197Contig1	HCGP-BT-CO_01889
CL2198Contig1	HCGP-BT-CO_01890
CL2199Contig1	HCGP-BT-CO_01891
CL219Contig1	HCGP-BT-CO_01892
CL21Contig1	HCGP-BT-CO_01893
CL2200Contig1	HCGP-BT-CO_01894
CL2201Contig1	HCGP-BT-CO_01895
CL2202Contig1	HCGP-BT-CO_01896
CL2203Contig1	HCGP-BT-CO_01897
CL2204Contig1	HCGP-BT-CO_01898
CL2206Contig1	HCGP-BT-CO_01899
CL2207Contig1	HCGP-BT-CO_01900
CL2208Contig1	HCGP-BT-CO_01901
CL2209Contig1	HCGP-BT-CO_01902
CL220Contig1	HCGP-BT-CO_01903
CL2210Contig1	HCGP-BT-CO_01904
CL2211Contig1	HCGP-BT-CO_01905
CL2212Contig1	HCGP-BT-CO_01906
CL2213Contig1	HCGP-BT-CO_01907
CL2214Contig1	HCGP-BT-CO_01908
CL2215Contig1	HCGP-BT-CO_01909
CL2216Contig1	HCGP-BT-CO_01910
CL2217Contig1	HCGP-BT-CO_01911
CL2218Contig1	HCGP-BT-CO_01912
CL2219Contig1	HCGP-BT-CO_01913
CL221Contig1	HCGP-BT-CO_01914
CL2220Contig1	HCGP-BT-CO_01915
CL2221Contig1	HCGP-BT-CO_01916
CL2222Contig1	HCGP-BT-CO_01917
CL2223Contig1	HCGP-BT-CO_01918
CL2224Contig1	HCGP-BT-CO_01919
CL2225Contig1	HCGP-BT-CO_01920
CL2226Contig1	HCGP-BT-CO_01921
CL2227Contig1	HCGP-BT-CO_01922
CL2228Contig1	HCGP-BT-CO_01923
CL2229Contig1	HCGP-BT-CO_01924
CL222Contig1	HCGP-BT-CO_01925
CL222Contig2	HCGP-BT-CO_01926
CL2230Contig1	HCGP-BT-CO_01927
CL2231Contig1	HCGP-BT-CO_01928
CL2232Contig1	HCGP-BT-CO_01929
CL2233Contig1	HCGP-BT-CO_01930
CL2234Contig1	HCGP-BT-CO_01931
CL2235Contig1	HCGP-BT-CO_01932
CL2236Contig1	HCGP-BT-CO_01933
CL2238Contig1	HCGP-BT-CO_01934
CL2239Contig1	HCGP-BT-CO_01935
CL223Contig1	HCGP-BT-CO_01936
CL2240Contig1	HCGP-BT-CO_01937
CL2242Contig1	HCGP-BT-CO_01938
CL2243Contig1	HCGP-BT-CO_01939
CL2244Contig1	HCGP-BT-CO_01940
CL2245Contig1	HCGP-BT-CO_01941
CL2246Contig1	HCGP-BT-CO_01942
CL2247Contig1	HCGP-BT-CO_01943
CL2248Contig1	HCGP-BT-CO_01944
CL2249Contig1	HCGP-BT-CO_01945
CL224Contig1	HCGP-BT-CO_01946
CL2250Contig1	HCGP-BT-CO_01947
CL2251Contig1	HCGP-BT-CO_01948
CL2252Contig1	HCGP-BT-CO_01949
CL2253Contig1	HCGP-BT-CO_01950
CL2254Contig1	HCGP-BT-CO_01951
CL2255Contig1	HCGP-BT-CO_01952
CL2256Contig1	HCGP-BT-CO_01953
CL2257Contig1	HCGP-BT-CO_01954
CL2258Contig1	HCGP-BT-CO_01955
CL225Contig1	HCGP-BT-CO_01956
CL2260Contig1	HCGP-BT-CO_01957
CL2261Contig1	HCGP-BT-CO_01958
CL2262Contig1	HCGP-BT-CO_01959
CL2263Contig1	HCGP-BT-CO_01960
CL2265Contig1	HCGP-BT-CO_01961
CL2266Contig1	HCGP-BT-CO_01962
CL2267Contig1	HCGP-BT-CO_01963
CL2268Contig1	HCGP-BT-CO_01964
CL2269Contig1	HCGP-BT-CO_01965
CL226Contig1	HCGP-BT-CO_01966
CL226Contig2	HCGP-BT-CO_01967
CL2271Contig1	HCGP-BT-CO_01968
CL2272Contig1	HCGP-BT-CO_01969
CL2273Contig1	HCGP-BT-CO_01970
CL2275Contig1	HCGP-BT-CO_01971
CL2276Contig1	HCGP-BT-CO_01972
CL2277Contig1	HCGP-BT-CO_01973
CL2278Contig1	HCGP-BT-CO_01974
CL2279Contig1	HCGP-BT-CO_01975
CL227Contig1	HCGP-BT-CO_01976
CL2280Contig1	HCGP-BT-CO_01977
CL2281Contig1	HCGP-BT-CO_01978
CL2282Contig1	HCGP-BT-CO_01979
CL2283Contig1	HCGP-BT-CO_01980
CL2285Contig1	HCGP-BT-CO_01981
CL2286Contig1	HCGP-BT-CO_01982
CL2287Contig1	HCGP-BT-CO_01983
CL2288Contig1	HCGP-BT-CO_01984
CL2289Contig1	HCGP-BT-CO_01985
CL228Contig1	HCGP-BT-CO_01986
CL2290Contig1	HCGP-BT-CO_01987
CL2291Contig1	HCGP-BT-CO_01988
CL2292Contig1	HCGP-BT-CO_01989
CL2293Contig1	HCGP-BT-CO_01990
CL2294Contig1	HCGP-BT-CO_01991
CL2295Contig1	HCGP-BT-CO_01992
CL2296Contig1	HCGP-BT-CO_01993
CL2297Contig1	HCGP-BT-CO_01994
CL2298Contig1	HCGP-BT-CO_01995
CL2299Contig1	HCGP-BT-CO_01996
CL22Contig1	HCGP-BT-CO_01997
CL22Contig2	HCGP-BT-CO_01998
CL22Contig3	HCGP-BT-CO_01999
CL22Contig4	HCGP-BT-CO_02000
CL2300Contig1	HCGP-BT-CO_02001
CL2301Contig1	HCGP-BT-CO_02002
CL2302Contig1	HCGP-BT-CO_02003
CL2303Contig1	HCGP-BT-CO_02004
CL2304Contig1	HCGP-BT-CO_02005
CL2305Contig1	HCGP-BT-CO_02006
CL2306Contig1	HCGP-BT-CO_02007
CL2307Contig1	HCGP-BT-CO_02008
CL2308Contig1	HCGP-BT-CO_02009
CL2309Contig1	HCGP-BT-CO_02010
CL230Contig1	HCGP-BT-CO_02011
CL2310Contig1	HCGP-BT-CO_02012
CL2311Contig1	HCGP-BT-CO_02013
CL2312Contig1	HCGP-BT-CO_02014
CL2313Contig1	HCGP-BT-CO_02015
CL2314Contig1	HCGP-BT-CO_02016
CL2315Contig1	HCGP-BT-CO_02017
CL2316Contig1	HCGP-BT-CO_02018
CL2317Contig1	HCGP-BT-CO_02019
CL2318Contig1	HCGP-BT-CO_02020
CL2319Contig1	HCGP-BT-CO_02021
CL231Contig1	HCGP-BT-CO_02022
CL2320Contig1	HCGP-BT-CO_02023
CL2321Contig1	HCGP-BT-CO_02024
CL2322Contig1	HCGP-BT-CO_02025
CL2323Contig1	HCGP-BT-CO_02026
CL2324Contig1	HCGP-BT-CO_02027
CL2325Contig1	HCGP-BT-CO_02028
CL2326Contig1	HCGP-BT-CO_02029
CL2327Contig1	HCGP-BT-CO_02030
CL2328Contig1	HCGP-BT-CO_02031
CL2329Contig1	HCGP-BT-CO_02032
CL232Contig1	HCGP-BT-CO_02033
CL2330Contig1	HCGP-BT-CO_02034
CL2333Contig1	HCGP-BT-CO_02035
CL2334Contig1	HCGP-BT-CO_02036
CL2335Contig1	HCGP-BT-CO_02037
CL2336Contig1	HCGP-BT-CO_02038
CL2337Contig1	HCGP-BT-CO_02039
CL2338Contig1	HCGP-BT-CO_02040
CL2339Contig1	HCGP-BT-CO_02041
CL233Contig1	HCGP-BT-CO_02042
CL233Contig2	HCGP-BT-CO_02043
CL233Contig3	HCGP-BT-CO_02044
CL2341Contig1	HCGP-BT-CO_02045
CL2342Contig1	HCGP-BT-CO_02046
CL2343Contig1	HCGP-BT-CO_02047
CL2344Contig1	HCGP-BT-CO_02048
CL2345Contig1	HCGP-BT-CO_02049
CL2346Contig1	HCGP-BT-CO_02050
CL2347Contig1	HCGP-BT-CO_02051
CL2348Contig1	HCGP-BT-CO_02052
CL2349Contig1	HCGP-BT-CO_02053
CL234Contig1	HCGP-BT-CO_02054
CL2350Contig1	HCGP-BT-CO_02055
CL2351Contig1	HCGP-BT-CO_02056
CL2352Contig1	HCGP-BT-CO_02057
CL2353Contig1	HCGP-BT-CO_02058
CL2354Contig1	HCGP-BT-CO_02059
CL2355Contig1	HCGP-BT-CO_02060
CL2356Contig1	HCGP-BT-CO_02061
CL2357Contig1	HCGP-BT-CO_02062
CL2358Contig1	HCGP-BT-CO_02063
CL2359Contig1	HCGP-BT-CO_02064
CL235Contig1	HCGP-BT-CO_02065
CL235Contig2	HCGP-BT-CO_02066
CL235Contig3	HCGP-BT-CO_02067
CL2360Contig1	HCGP-BT-CO_02068
CL2361Contig1	HCGP-BT-CO_02069
CL2362Contig1	HCGP-BT-CO_02070
CL2363Contig1	HCGP-BT-CO_02071
CL2364Contig1	HCGP-BT-CO_02072
CL2365Contig1	HCGP-BT-CO_02073
CL2366Contig1	HCGP-BT-CO_02074
CL2367Contig1	HCGP-BT-CO_02075
CL2368Contig1	HCGP-BT-CO_02076
CL2369Contig1	HCGP-BT-CO_02077
CL236Contig1	HCGP-BT-CO_02078
CL236Contig2	HCGP-BT-CO_02079
CL2370Contig1	HCGP-BT-CO_02080
CL2371Contig1	HCGP-BT-CO_02081
CL2372Contig1	HCGP-BT-CO_02082
CL2373Contig1	HCGP-BT-CO_02083
CL2374Contig1	HCGP-BT-CO_02084
CL2375Contig1	HCGP-BT-CO_02085
CL2376Contig1	HCGP-BT-CO_02086
CL2377Contig1	HCGP-BT-CO_02087
CL2378Contig1	HCGP-BT-CO_02088
CL2379Contig1	HCGP-BT-CO_02089
CL237Contig1	HCGP-BT-CO_02090
CL2380Contig1	HCGP-BT-CO_02091
CL2381Contig1	HCGP-BT-CO_02092
CL2382Contig1	HCGP-BT-CO_02093
CL2383Contig1	HCGP-BT-CO_02094
CL2384Contig1	HCGP-BT-CO_02095
CL2385Contig1	HCGP-BT-CO_02096
CL2386Contig1	HCGP-BT-CO_02097
CL2388Contig1	HCGP-BT-CO_02098
CL2389Contig1	HCGP-BT-CO_02099
CL238Contig1	HCGP-BT-CO_02100
CL238Contig2	HCGP-BT-CO_02101
CL2391Contig1	HCGP-BT-CO_02102
CL2392Contig1	HCGP-BT-CO_02103
CL2393Contig1	HCGP-BT-CO_02104
CL2395Contig1	HCGP-BT-CO_02105
CL2397Contig1	HCGP-BT-CO_02106
CL2398Contig1	HCGP-BT-CO_02107
CL2399Contig1	HCGP-BT-CO_02108
CL239Contig1	HCGP-BT-CO_02109
CL23Contig1	HCGP-BT-CO_02110
CL23Contig2	HCGP-BT-CO_02111
CL23Contig3	HCGP-BT-CO_02112
CL23Contig4	HCGP-BT-CO_02113
CL23Contig5	HCGP-BT-CO_02114
CL23Contig7	HCGP-BT-CO_02115
CL23Contig8	HCGP-BT-CO_02116
CL2400Contig1	HCGP-BT-CO_02117
CL2401Contig1	HCGP-BT-CO_02118
CL2402Contig1	HCGP-BT-CO_02119
CL2403Contig1	HCGP-BT-CO_02120
CL2404Contig1	HCGP-BT-CO_02121
CL2405Contig1	HCGP-BT-CO_02122
CL2406Contig1	HCGP-BT-CO_02123
CL2407Contig1	HCGP-BT-CO_02124
CL2408Contig1	HCGP-BT-CO_02125
CL2409Contig1	HCGP-BT-CO_02126
CL240Contig1	HCGP-BT-CO_02127
CL2410Contig1	HCGP-BT-CO_02128
CL2411Contig1	HCGP-BT-CO_02129
CL2412Contig1	HCGP-BT-CO_02130
CL2413Contig1	HCGP-BT-CO_02131
CL2414Contig1	HCGP-BT-CO_02132
CL2416Contig1	HCGP-BT-CO_02133
CL2417Contig1	HCGP-BT-CO_02134
CL2418Contig1	HCGP-BT-CO_02135
CL2419Contig1	HCGP-BT-CO_02136
CL241Contig1	HCGP-BT-CO_02137
CL2420Contig1	HCGP-BT-CO_02138
CL2421Contig1	HCGP-BT-CO_02139
CL2422Contig1	HCGP-BT-CO_02140
CL2423Contig1	HCGP-BT-CO_02141
CL2424Contig1	HCGP-BT-CO_02142
CL2425Contig1	HCGP-BT-CO_02143
CL2427Contig1	HCGP-BT-CO_02144
CL2428Contig1	HCGP-BT-CO_02145
CL2429Contig1	HCGP-BT-CO_02146
CL242Contig1	HCGP-BT-CO_02147
CL242Contig2	HCGP-BT-CO_02148
CL2430Contig1	HCGP-BT-CO_02149
CL2431Contig1	HCGP-BT-CO_02150
CL2432Contig1	HCGP-BT-CO_02151
CL2433Contig1	HCGP-BT-CO_02152
CL2434Contig1	HCGP-BT-CO_02153
CL2435Contig1	HCGP-BT-CO_02154
CL2436Contig1	HCGP-BT-CO_02155
CL2437Contig1	HCGP-BT-CO_02156
CL2439Contig1	HCGP-BT-CO_02157
CL243Contig1	HCGP-BT-CO_02158
CL2440Contig1	HCGP-BT-CO_02159
CL2441Contig1	HCGP-BT-CO_02160
CL2442Contig1	HCGP-BT-CO_02161
CL2443Contig1	HCGP-BT-CO_02162
CL2444Contig1	HCGP-BT-CO_02163
CL2445Contig1	HCGP-BT-CO_02164
CL2446Contig1	HCGP-BT-CO_02165
CL2447Contig1	HCGP-BT-CO_02166
CL2448Contig1	HCGP-BT-CO_02167
CL2449Contig1	HCGP-BT-CO_02168
CL244Contig1	HCGP-BT-CO_02169
CL2450Contig1	HCGP-BT-CO_02170
CL2451Contig1	HCGP-BT-CO_02171
CL2452Contig1	HCGP-BT-CO_02172
CL2453Contig1	HCGP-BT-CO_02173
CL2454Contig1	HCGP-BT-CO_02174
CL2455Contig1	HCGP-BT-CO_02175
CL2456Contig1	HCGP-BT-CO_02176
CL2457Contig1	HCGP-BT-CO_02177
CL2458Contig1	HCGP-BT-CO_02178
CL2459Contig1	HCGP-BT-CO_02179
CL245Contig1	HCGP-BT-CO_02180
CL2460Contig1	HCGP-BT-CO_02181
CL2461Contig1	HCGP-BT-CO_02182
CL2462Contig1	HCGP-BT-CO_02183
CL2463Contig1	HCGP-BT-CO_02184
CL2464Contig1	HCGP-BT-CO_02185
CL2465Contig1	HCGP-BT-CO_02186
CL2466Contig1	HCGP-BT-CO_02187
CL2467Contig1	HCGP-BT-CO_02188
CL2468Contig1	HCGP-BT-CO_02189
CL2469Contig1	HCGP-BT-CO_02190
CL246Contig1	HCGP-BT-CO_02191
CL2470Contig1	HCGP-BT-CO_02192
CL2471Contig1	HCGP-BT-CO_02193
CL2472Contig1	HCGP-BT-CO_02194
CL2473Contig1	HCGP-BT-CO_02195
CL2474Contig1	HCGP-BT-CO_02196
CL2475Contig1	HCGP-BT-CO_02197
CL2476Contig1	HCGP-BT-CO_02198
CL2477Contig1	HCGP-BT-CO_02199
CL2478Contig1	HCGP-BT-CO_02200
CL2479Contig1	HCGP-BT-CO_02201
CL247Contig1	HCGP-BT-CO_02202
CL2480Contig1	HCGP-BT-CO_02203
CL2482Contig1	HCGP-BT-CO_02204
CL2483Contig1	HCGP-BT-CO_02205
CL2484Contig1	HCGP-BT-CO_02206
CL2485Contig1	HCGP-BT-CO_02207
CL2486Contig1	HCGP-BT-CO_02208
CL2487Contig1	HCGP-BT-CO_02209
