#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-BN-CO_00001
CL1542Contig1	HCGP-BN-CO_00611
CL1543Contig1	HCGP-BN-CO_00612
CL1544Contig1	HCGP-BN-CO_00613
CL1546Contig1	HCGP-BN-CO_00614
CL1547Contig1	HCGP-BN-CO_00615
CL1548Contig1	HCGP-BN-CO_00616
CL1549Contig1	HCGP-BN-CO_00617
CL154Contig1	HCGP-BN-CO_00618
CL1550Contig1	HCGP-BN-CO_00619
CL1551Contig1	HCGP-BN-CO_00620
CL1552Contig1	HCGP-BN-CO_00621
CL1553Contig1	HCGP-BN-CO_00622
CL1554Contig1	HCGP-BN-CO_00623
CL1555Contig1	HCGP-BN-CO_00624
CL1556Contig1	HCGP-BN-CO_00625
CL1557Contig1	HCGP-BN-CO_00626
CL1558Contig1	HCGP-BN-CO_00627
CL1559Contig1	HCGP-BN-CO_00628
CL155Contig1	HCGP-BN-CO_00629
CL1560Contig1	HCGP-BN-CO_00630
CL1561Contig1	HCGP-BN-CO_00631
CL1562Contig1	HCGP-BN-CO_00632
CL1564Contig1	HCGP-BN-CO_00633
CL1565Contig1	HCGP-BN-CO_00634
CL1566Contig1	HCGP-BN-CO_00635
CL1567Contig1	HCGP-BN-CO_00636
CL1568Contig1	HCGP-BN-CO_00637
CL1569Contig1	HCGP-BN-CO_00638
CL156Contig1	HCGP-BN-CO_00639
CL1571Contig1	HCGP-BN-CO_00640
CL1572Contig1	HCGP-BN-CO_00641
CL1573Contig1	HCGP-BN-CO_00642
CL1574Contig1	HCGP-BN-CO_00643
CL1575Contig1	HCGP-BN-CO_00644
CL1576Contig1	HCGP-BN-CO_00645
CL1578Contig1	HCGP-BN-CO_00646
CL1579Contig1	HCGP-BN-CO_00647
CL157Contig1	HCGP-BN-CO_00648
CL157Contig2	HCGP-BN-CO_00649
CL1580Contig1	HCGP-BN-CO_00650
CL1581Contig1	HCGP-BN-CO_00651
CL1582Contig1	HCGP-BN-CO_00652
CL1583Contig1	HCGP-BN-CO_00653
CL1584Contig1	HCGP-BN-CO_00654
CL1586Contig1	HCGP-BN-CO_00655
CL1587Contig1	HCGP-BN-CO_00656
CL1588Contig1	HCGP-BN-CO_00657
CL1589Contig1	HCGP-BN-CO_00658
CL158Contig1	HCGP-BN-CO_00659
CL1591Contig1	HCGP-BN-CO_00660
CL1592Contig1	HCGP-BN-CO_00661
CL1593Contig1	HCGP-BN-CO_00662
CL1594Contig1	HCGP-BN-CO_00663
CL1595Contig1	HCGP-BN-CO_00664
CL1596Contig1	HCGP-BN-CO_00665
CL1597Contig1	HCGP-BN-CO_00666
CL1598Contig1	HCGP-BN-CO_00667
CL1599Contig1	HCGP-BN-CO_00668
CL159Contig1	HCGP-BN-CO_00669
CL159Contig2	HCGP-BN-CO_00670
CL15Contig1	HCGP-BN-CO_00671
CL15Contig2	HCGP-BN-CO_00672
CL15Contig3	HCGP-BN-CO_00673
CL15Contig4	HCGP-BN-CO_00674
CL15Contig5	HCGP-BN-CO_00675
CL15Contig6	HCGP-BN-CO_00676
CL15Contig7	HCGP-BN-CO_00677
CL15Contig8	HCGP-BN-CO_00678
CL1600Contig1	HCGP-BN-CO_00679
CL1601Contig1	HCGP-BN-CO_00680
CL1602Contig1	HCGP-BN-CO_00681
CL1603Contig1	HCGP-BN-CO_00682
CL1604Contig1	HCGP-BN-CO_00683
CL1605Contig1	HCGP-BN-CO_00684
CL1606Contig1	HCGP-BN-CO_00685
CL1607Contig1	HCGP-BN-CO_00686
CL1608Contig1	HCGP-BN-CO_00687
CL1609Contig1	HCGP-BN-CO_00688
CL1610Contig1	HCGP-BN-CO_00689
CL1611Contig1	HCGP-BN-CO_00690
CL1612Contig1	HCGP-BN-CO_00691
CL1613Contig1	HCGP-BN-CO_00692
CL1615Contig1	HCGP-BN-CO_00693
CL1617Contig1	HCGP-BN-CO_00694
CL1618Contig1	HCGP-BN-CO_00695
CL1619Contig1	HCGP-BN-CO_00696
CL161Contig1	HCGP-BN-CO_00697
CL161Contig2	HCGP-BN-CO_00698
CL1620Contig1	HCGP-BN-CO_00699
CL1621Contig1	HCGP-BN-CO_00700
CL1622Contig1	HCGP-BN-CO_00701
CL1623Contig1	HCGP-BN-CO_00702
CL1624Contig1	HCGP-BN-CO_00703
CL1625Contig1	HCGP-BN-CO_00704
CL1626Contig1	HCGP-BN-CO_00705
CL1627Contig1	HCGP-BN-CO_00706
CL1628Contig1	HCGP-BN-CO_00707
CL1629Contig1	HCGP-BN-CO_00708
CL162Contig1	HCGP-BN-CO_00709
CL1630Contig1	HCGP-BN-CO_00710
CL1631Contig1	HCGP-BN-CO_00711
CL1632Contig1	HCGP-BN-CO_00712
CL1633Contig1	HCGP-BN-CO_00713
CL1634Contig1	HCGP-BN-CO_00714
CL1636Contig1	HCGP-BN-CO_00715
CL1637Contig1	HCGP-BN-CO_00716
CL1638Contig1	HCGP-BN-CO_00717
CL163Contig1	HCGP-BN-CO_00718
CL1640Contig1	HCGP-BN-CO_00719
CL1641Contig1	HCGP-BN-CO_00720
CL1643Contig1	HCGP-BN-CO_00721
CL1645Contig1	HCGP-BN-CO_00722
CL1647Contig1	HCGP-BN-CO_00723
CL1648Contig1	HCGP-BN-CO_00724
CL1649Contig1	HCGP-BN-CO_00725
CL164Contig1	HCGP-BN-CO_00726
CL1650Contig1	HCGP-BN-CO_00727
CL1651Contig1	HCGP-BN-CO_00728
CL1652Contig1	HCGP-BN-CO_00729
CL1653Contig1	HCGP-BN-CO_00730
CL1654Contig1	HCGP-BN-CO_00731
CL1655Contig1	HCGP-BN-CO_00732
CL1656Contig1	HCGP-BN-CO_00733
CL1657Contig1	HCGP-BN-CO_00734
CL1659Contig1	HCGP-BN-CO_00735
CL165Contig1	HCGP-BN-CO_00736
CL1660Contig1	HCGP-BN-CO_00737
CL1661Contig1	HCGP-BN-CO_00738
CL1662Contig1	HCGP-BN-CO_00739
CL1663Contig1	HCGP-BN-CO_00740
CL1664Contig1	HCGP-BN-CO_00741
CL1665Contig1	HCGP-BN-CO_00742
CL1666Contig1	HCGP-BN-CO_00743
CL1667Contig1	HCGP-BN-CO_00744
CL1668Contig1	HCGP-BN-CO_00745
CL1669Contig1	HCGP-BN-CO_00746
CL166Contig1	HCGP-BN-CO_00747
CL1670Contig1	HCGP-BN-CO_00748
CL1671Contig1	HCGP-BN-CO_00749
CL1672Contig1	HCGP-BN-CO_00750
CL1673Contig1	HCGP-BN-CO_00751
CL1674Contig1	HCGP-BN-CO_00752
CL1675Contig1	HCGP-BN-CO_00753
CL1676Contig1	HCGP-BN-CO_00754
CL1677Contig1	HCGP-BN-CO_00755
CL1678Contig1	HCGP-BN-CO_00756
CL1679Contig1	HCGP-BN-CO_00757
CL167Contig1	HCGP-BN-CO_00758
CL1680Contig1	HCGP-BN-CO_00759
CL1681Contig1	HCGP-BN-CO_00760
CL1682Contig1	HCGP-BN-CO_00761
CL1683Contig1	HCGP-BN-CO_00762
CL1684Contig1	HCGP-BN-CO_00763
CL1685Contig1	HCGP-BN-CO_00764
CL1686Contig1	HCGP-BN-CO_00765
CL1687Contig1	HCGP-BN-CO_00766
CL1689Contig1	HCGP-BN-CO_00767
CL168Contig1	HCGP-BN-CO_00768
CL1690Contig1	HCGP-BN-CO_00769
CL1691Contig1	HCGP-BN-CO_00770
CL1692Contig1	HCGP-BN-CO_00771
CL1694Contig1	HCGP-BN-CO_00772
CL1695Contig1	HCGP-BN-CO_00773
CL1696Contig1	HCGP-BN-CO_00774
CL1697Contig1	HCGP-BN-CO_00775
CL1699Contig1	HCGP-BN-CO_00776
CL169Contig1	HCGP-BN-CO_00777
CL16Contig1	HCGP-BN-CO_00778
CL1700Contig1	HCGP-BN-CO_00779
CL1701Contig1	HCGP-BN-CO_00780
CL1702Contig1	HCGP-BN-CO_00781
CL1703Contig1	HCGP-BN-CO_00782
CL1704Contig1	HCGP-BN-CO_00783
CL1706Contig1	HCGP-BN-CO_00784
CL1707Contig1	HCGP-BN-CO_00785
CL1708Contig1	HCGP-BN-CO_00786
CL1709Contig1	HCGP-BN-CO_00787
CL170Contig1	HCGP-BN-CO_00788
CL1710Contig1	HCGP-BN-CO_00789
CL1711Contig1	HCGP-BN-CO_00790
CL1712Contig1	HCGP-BN-CO_00791
CL1713Contig1	HCGP-BN-CO_00792
CL1715Contig1	HCGP-BN-CO_00793
CL1716Contig1	HCGP-BN-CO_00794
CL1717Contig1	HCGP-BN-CO_00795
CL1718Contig1	HCGP-BN-CO_00796
CL1719Contig1	HCGP-BN-CO_00797
CL171Contig1	HCGP-BN-CO_00798
CL1720Contig1	HCGP-BN-CO_00799
CL1721Contig1	HCGP-BN-CO_00800
CL1722Contig1	HCGP-BN-CO_00801
CL1723Contig1	HCGP-BN-CO_00802
CL1724Contig1	HCGP-BN-CO_00803
CL1725Contig1	HCGP-BN-CO_00804
CL1726Contig1	HCGP-BN-CO_00805
CL1727Contig1	HCGP-BN-CO_00806
CL1728Contig1	HCGP-BN-CO_00807
CL1729Contig1	HCGP-BN-CO_00808
CL172Contig1	HCGP-BN-CO_00809
CL172Contig2	HCGP-BN-CO_00810
CL1730Contig1	HCGP-BN-CO_00811
CL1731Contig1	HCGP-BN-CO_00812
CL1732Contig1	HCGP-BN-CO_00813
CL1733Contig1	HCGP-BN-CO_00814
CL1734Contig1	HCGP-BN-CO_00815
CL1735Contig1	HCGP-BN-CO_00816
CL1736Contig1	HCGP-BN-CO_00817
CL1737Contig1	HCGP-BN-CO_00818
CL1738Contig1	HCGP-BN-CO_00819
CL1739Contig1	HCGP-BN-CO_00820
CL173Contig1	HCGP-BN-CO_00821
CL173Contig2	HCGP-BN-CO_00822
CL1740Contig1	HCGP-BN-CO_00823
CL1741Contig1	HCGP-BN-CO_00824
CL1742Contig1	HCGP-BN-CO_00825
CL1743Contig1	HCGP-BN-CO_00826
CL1745Contig1	HCGP-BN-CO_00827
CL1746Contig1	HCGP-BN-CO_00828
CL1747Contig1	HCGP-BN-CO_00829
CL1748Contig1	HCGP-BN-CO_00830
CL1749Contig1	HCGP-BN-CO_00831
CL174Contig1	HCGP-BN-CO_00832
CL1750Contig1	HCGP-BN-CO_00833
CL1751Contig1	HCGP-BN-CO_00834
CL1752Contig1	HCGP-BN-CO_00835
CL1753Contig1	HCGP-BN-CO_00836
CL1754Contig1	HCGP-BN-CO_00837
CL1755Contig1	HCGP-BN-CO_00838
CL1756Contig1	HCGP-BN-CO_00839
CL1757Contig1	HCGP-BN-CO_00840
CL1758Contig1	HCGP-BN-CO_00841
CL1759Contig1	HCGP-BN-CO_00842
CL175Contig1	HCGP-BN-CO_00843
CL1760Contig1	HCGP-BN-CO_00844
CL1761Contig1	HCGP-BN-CO_00845
CL1762Contig1	HCGP-BN-CO_00846
CL1763Contig1	HCGP-BN-CO_00847
CL1764Contig1	HCGP-BN-CO_00848
CL1765Contig1	HCGP-BN-CO_00849
CL1766Contig1	HCGP-BN-CO_00850
CL1768Contig1	HCGP-BN-CO_00851
CL1769Contig1	HCGP-BN-CO_00852
CL176Contig1	HCGP-BN-CO_00853
CL1770Contig1	HCGP-BN-CO_00854
CL1771Contig1	HCGP-BN-CO_00855
CL1772Contig1	HCGP-BN-CO_00856
CL1773Contig1	HCGP-BN-CO_00857
CL1774Contig1	HCGP-BN-CO_00858
CL1775Contig1	HCGP-BN-CO_00859
CL1776Contig1	HCGP-BN-CO_00860
CL1777Contig1	HCGP-BN-CO_00861
CL1779Contig1	HCGP-BN-CO_00862
CL177Contig1	HCGP-BN-CO_00863
CL1780Contig1	HCGP-BN-CO_00864
CL1781Contig1	HCGP-BN-CO_00865
CL1782Contig1	HCGP-BN-CO_00866
CL1783Contig1	HCGP-BN-CO_00867
CL1784Contig1	HCGP-BN-CO_00868
CL1786Contig1	HCGP-BN-CO_00869
CL1787Contig1	HCGP-BN-CO_00870
CL1788Contig1	HCGP-BN-CO_00871
CL1789Contig1	HCGP-BN-CO_00872
CL178Contig1	HCGP-BN-CO_00873
CL1790Contig1	HCGP-BN-CO_00874
CL1791Contig1	HCGP-BN-CO_00875
CL1792Contig1	HCGP-BN-CO_00876
CL1793Contig1	HCGP-BN-CO_00877
CL1794Contig1	HCGP-BN-CO_00878
CL1796Contig1	HCGP-BN-CO_00879
CL1797Contig1	HCGP-BN-CO_00880
CL1798Contig1	HCGP-BN-CO_00881
CL1799Contig1	HCGP-BN-CO_00882
CL179Contig1	HCGP-BN-CO_00883
CL17Contig1	HCGP-BN-CO_00884
CL17Contig2	HCGP-BN-CO_00885
CL17Contig3	HCGP-BN-CO_00886
CL17Contig4	HCGP-BN-CO_00887
CL17Contig5	HCGP-BN-CO_00888
CL17Contig6	HCGP-BN-CO_00889
CL17Contig7	HCGP-BN-CO_00890
CL17Contig8	HCGP-BN-CO_00891
CL1800Contig1	HCGP-BN-CO_00892
CL1801Contig1	HCGP-BN-CO_00893
CL1802Contig1	HCGP-BN-CO_00894
CL1803Contig1	HCGP-BN-CO_00895
CL1804Contig1	HCGP-BN-CO_00896
CL1805Contig1	HCGP-BN-CO_00897
CL1806Contig1	HCGP-BN-CO_00898
CL1807Contig1	HCGP-BN-CO_00899
CL1808Contig1	HCGP-BN-CO_00900
CL1809Contig1	HCGP-BN-CO_00901
CL180Contig1	HCGP-BN-CO_00902
CL1810Contig1	HCGP-BN-CO_00903
CL1812Contig1	HCGP-BN-CO_00904
CL1813Contig1	HCGP-BN-CO_00905
CL1814Contig1	HCGP-BN-CO_00906
CL1815Contig1	HCGP-BN-CO_00907
CL1817Contig1	HCGP-BN-CO_00908
CL1818Contig1	HCGP-BN-CO_00909
CL1819Contig1	HCGP-BN-CO_00910
CL181Contig1	HCGP-BN-CO_00911
CL1820Contig1	HCGP-BN-CO_00912
CL1821Contig1	HCGP-BN-CO_00913
CL1822Contig1	HCGP-BN-CO_00914
CL1823Contig1	HCGP-BN-CO_00915
CL1824Contig1	HCGP-BN-CO_00916
CL1826Contig1	HCGP-BN-CO_00917
CL1827Contig1	HCGP-BN-CO_00918
CL1828Contig1	HCGP-BN-CO_00919
CL1829Contig1	HCGP-BN-CO_00920
CL182Contig1	HCGP-BN-CO_00921
CL1830Contig1	HCGP-BN-CO_00922
CL1831Contig1	HCGP-BN-CO_00923
CL1832Contig1	HCGP-BN-CO_00924
CL1833Contig1	HCGP-BN-CO_00925
CL1834Contig1	HCGP-BN-CO_00926
CL1835Contig1	HCGP-BN-CO_00927
CL1836Contig1	HCGP-BN-CO_00928
CL1837Contig1	HCGP-BN-CO_00929
CL1838Contig1	HCGP-BN-CO_00930
CL183Contig1	HCGP-BN-CO_00931
CL1840Contig1	HCGP-BN-CO_00932
CL1841Contig1	HCGP-BN-CO_00933
CL1842Contig1	HCGP-BN-CO_00934
CL1843Contig1	HCGP-BN-CO_00935
CL1844Contig1	HCGP-BN-CO_00936
CL1845Contig1	HCGP-BN-CO_00937
CL1846Contig1	HCGP-BN-CO_00938
CL1847Contig1	HCGP-BN-CO_00939
CL1848Contig1	HCGP-BN-CO_00940
CL1849Contig1	HCGP-BN-CO_00941
CL184Contig1	HCGP-BN-CO_00942
CL184Contig2	HCGP-BN-CO_00943
CL1850Contig1	HCGP-BN-CO_00944
CL1852Contig1	HCGP-BN-CO_00945
CL1854Contig1	HCGP-BN-CO_00946
CL1855Contig1	HCGP-BN-CO_00947
CL1856Contig1	HCGP-BN-CO_00948
CL1857Contig1	HCGP-BN-CO_00949
CL1858Contig1	HCGP-BN-CO_00950
CL1859Contig1	HCGP-BN-CO_00951
CL185Contig1	HCGP-BN-CO_00952
CL1860Contig1	HCGP-BN-CO_00953
CL1861Contig1	HCGP-BN-CO_00954
CL1862Contig1	HCGP-BN-CO_00955
CL1863Contig1	HCGP-BN-CO_00956
CL1864Contig1	HCGP-BN-CO_00957
CL1865Contig1	HCGP-BN-CO_00958
CL1866Contig1	HCGP-BN-CO_00959
CL1867Contig1	HCGP-BN-CO_00960
CL1868Contig1	HCGP-BN-CO_00961
CL1869Contig1	HCGP-BN-CO_00962
CL186Contig1	HCGP-BN-CO_00963
CL1870Contig1	HCGP-BN-CO_00964
CL1871Contig1	HCGP-BN-CO_00965
CL1872Contig1	HCGP-BN-CO_00966
CL1873Contig1	HCGP-BN-CO_00967
CL1874Contig1	HCGP-BN-CO_00968
CL1875Contig1	HCGP-BN-CO_00969
CL1876Contig1	HCGP-BN-CO_00970
CL1877Contig1	HCGP-BN-CO_00971
CL1878Contig1	HCGP-BN-CO_00972
CL1879Contig1	HCGP-BN-CO_00973
CL187Contig1	HCGP-BN-CO_00974
CL1880Contig1	HCGP-BN-CO_00975
CL1882Contig1	HCGP-BN-CO_00976
CL1883Contig1	HCGP-BN-CO_00977
CL1884Contig1	HCGP-BN-CO_00978
CL1885Contig1	HCGP-BN-CO_00979
CL1886Contig1	HCGP-BN-CO_00980
CL1887Contig1	HCGP-BN-CO_00981
CL1888Contig1	HCGP-BN-CO_00982
CL188Contig1	HCGP-BN-CO_00983
CL1890Contig1	HCGP-BN-CO_00984
CL1891Contig1	HCGP-BN-CO_00985
CL1892Contig1	HCGP-BN-CO_00986
CL1893Contig1	HCGP-BN-CO_00987
CL1894Contig1	HCGP-BN-CO_00988
CL1895Contig1	HCGP-BN-CO_00989
CL1896Contig1	HCGP-BN-CO_00990
CL1897Contig1	HCGP-BN-CO_00991
CL1898Contig1	HCGP-BN-CO_00992
CL1899Contig1	HCGP-BN-CO_00993
CL189Contig1	HCGP-BN-CO_00994
CL18Contig1	HCGP-BN-CO_00995
CL18Contig2	HCGP-BN-CO_00996
CL18Contig3	HCGP-BN-CO_00997
CL18Contig4	HCGP-BN-CO_00998
CL18Contig5	HCGP-BN-CO_00999
CL18Contig6	HCGP-BN-CO_01000
CL1900Contig1	HCGP-BN-CO_01001
CL1901Contig1	HCGP-BN-CO_01002
CL1902Contig1	HCGP-BN-CO_01003
CL1903Contig1	HCGP-BN-CO_01004
CL1904Contig1	HCGP-BN-CO_01005
CL1905Contig1	HCGP-BN-CO_01006
CL1906Contig1	HCGP-BN-CO_01007
CL1907Contig1	HCGP-BN-CO_01008
CL1908Contig1	HCGP-BN-CO_01009
CL1909Contig1	HCGP-BN-CO_01010
CL190Contig1	HCGP-BN-CO_01011
CL190Contig2	HCGP-BN-CO_01012
CL1910Contig1	HCGP-BN-CO_01013
CL1912Contig1	HCGP-BN-CO_01014
CL1913Contig1	HCGP-BN-CO_01015
CL1914Contig1	HCGP-BN-CO_01016
CL1915Contig1	HCGP-BN-CO_01017
CL1917Contig1	HCGP-BN-CO_01018
CL1918Contig1	HCGP-BN-CO_01019
CL1919Contig1	HCGP-BN-CO_01020
CL191Contig1	HCGP-BN-CO_01021
CL1920Contig1	HCGP-BN-CO_01022
CL1921Contig1	HCGP-BN-CO_01023
CL1922Contig1	HCGP-BN-CO_01024
CL1923Contig1	HCGP-BN-CO_01025
CL1924Contig1	HCGP-BN-CO_01026
CL1925Contig1	HCGP-BN-CO_01027
CL1926Contig1	HCGP-BN-CO_01028
CL1927Contig1	HCGP-BN-CO_01029
CL1928Contig1	HCGP-BN-CO_01030
CL1929Contig1	HCGP-BN-CO_01031
CL192Contig1	HCGP-BN-CO_01032
CL1930Contig1	HCGP-BN-CO_01033
CL1931Contig1	HCGP-BN-CO_01034
CL1932Contig1	HCGP-BN-CO_01035
CL1934Contig1	HCGP-BN-CO_01036
CL1935Contig1	HCGP-BN-CO_01037
CL1936Contig1	HCGP-BN-CO_01038
CL1937Contig1	HCGP-BN-CO_01039
CL1938Contig1	HCGP-BN-CO_01040
CL1939Contig1	HCGP-BN-CO_01041
CL193Contig1	HCGP-BN-CO_01042
CL1940Contig1	HCGP-BN-CO_01043
CL1941Contig1	HCGP-BN-CO_01044
CL1942Contig1	HCGP-BN-CO_01045
CL1943Contig1	HCGP-BN-CO_01046
CL1944Contig1	HCGP-BN-CO_01047
CL1945Contig1	HCGP-BN-CO_01048
CL1946Contig1	HCGP-BN-CO_01049
CL1947Contig1	HCGP-BN-CO_01050
CL1948Contig1	HCGP-BN-CO_01051
CL1949Contig1	HCGP-BN-CO_01052
CL194Contig1	HCGP-BN-CO_01053
CL194Contig2	HCGP-BN-CO_01054
CL194Contig3	HCGP-BN-CO_01055
CL1950Contig1	HCGP-BN-CO_01056
CL1951Contig1	HCGP-BN-CO_01057
CL1952Contig1	HCGP-BN-CO_01058
CL1953Contig1	HCGP-BN-CO_01059
CL1954Contig1	HCGP-BN-CO_01060
CL1955Contig1	HCGP-BN-CO_01061
CL1956Contig1	HCGP-BN-CO_01062
CL1957Contig1	HCGP-BN-CO_01063
CL1958Contig1	HCGP-BN-CO_01064
CL1959Contig1	HCGP-BN-CO_01065
CL195Contig1	HCGP-BN-CO_01066
CL195Contig2	HCGP-BN-CO_01067
CL1960Contig1	HCGP-BN-CO_01068
CL1961Contig1	HCGP-BN-CO_01069
CL1962Contig1	HCGP-BN-CO_01070
CL1963Contig1	HCGP-BN-CO_01071
CL1964Contig1	HCGP-BN-CO_01072
CL1965Contig1	HCGP-BN-CO_01073
CL1966Contig1	HCGP-BN-CO_01074
CL1967Contig1	HCGP-BN-CO_01075
CL1968Contig1	HCGP-BN-CO_01076
CL1969Contig1	HCGP-BN-CO_01077
CL196Contig1	HCGP-BN-CO_01078
CL196Contig2	HCGP-BN-CO_01079
CL196Contig3	HCGP-BN-CO_01080
CL1970Contig1	HCGP-BN-CO_01081
CL1971Contig1	HCGP-BN-CO_01082
CL1972Contig1	HCGP-BN-CO_01083
CL1973Contig1	HCGP-BN-CO_01084
CL1974Contig1	HCGP-BN-CO_01085
CL1975Contig1	HCGP-BN-CO_01086
CL1976Contig1	HCGP-BN-CO_01087
CL1977Contig1	HCGP-BN-CO_01088
CL1978Contig1	HCGP-BN-CO_01089
CL1979Contig1	HCGP-BN-CO_01090
CL197Contig1	HCGP-BN-CO_01091
CL197Contig2	HCGP-BN-CO_01092
CL1980Contig1	HCGP-BN-CO_01093
CL1981Contig1	HCGP-BN-CO_01094
CL1982Contig1	HCGP-BN-CO_01095
CL1983Contig1	HCGP-BN-CO_01096
CL1984Contig1	HCGP-BN-CO_01097
CL1985Contig1	HCGP-BN-CO_01098
CL1986Contig1	HCGP-BN-CO_01099
CL1987Contig1	HCGP-BN-CO_01100
CL1988Contig1	HCGP-BN-CO_01101
CL1989Contig1	HCGP-BN-CO_01102
CL198Contig1	HCGP-BN-CO_01103
CL198Contig2	HCGP-BN-CO_01104
CL1990Contig1	HCGP-BN-CO_01105
CL1991Contig1	HCGP-BN-CO_01106
CL1992Contig1	HCGP-BN-CO_01107
CL1993Contig1	HCGP-BN-CO_01108
CL1994Contig1	HCGP-BN-CO_01109
CL1995Contig1	HCGP-BN-CO_01110
CL1996Contig1	HCGP-BN-CO_01111
CL1997Contig1	HCGP-BN-CO_01112
CL1998Contig1	HCGP-BN-CO_01113
CL1999Contig1	HCGP-BN-CO_01114
CL199Contig1	HCGP-BN-CO_01115
CL19Contig1	HCGP-BN-CO_01116
CL19Contig2	HCGP-BN-CO_01117
CL19Contig3	HCGP-BN-CO_01118
CL19Contig4	HCGP-BN-CO_01119
CL19Contig5	HCGP-BN-CO_01120
CL19Contig6	HCGP-BN-CO_01121
CL19Contig7	HCGP-BN-CO_01122
CL1Contig10	HCGP-BN-CO_01123
CL1Contig100	HCGP-BN-CO_01124
CL1Contig101	HCGP-BN-CO_01125
CL1Contig102	HCGP-BN-CO_01126
CL1Contig103	HCGP-BN-CO_01127
CL1Contig104	HCGP-BN-CO_01128
CL1Contig105	HCGP-BN-CO_01129
CL1Contig106	HCGP-BN-CO_01130
CL1Contig107	HCGP-BN-CO_01131
CL1Contig108	HCGP-BN-CO_01132
CL1Contig11	HCGP-BN-CO_01133
CL1Contig114	HCGP-BN-CO_01134
CL1Contig117	HCGP-BN-CO_01135
CL1Contig119	HCGP-BN-CO_01136
CL1Contig12	HCGP-BN-CO_01137
CL1Contig120	HCGP-BN-CO_01138
CL1Contig121	HCGP-BN-CO_01139
CL1Contig122	HCGP-BN-CO_01140
CL1Contig123	HCGP-BN-CO_01141
CL1Contig124	HCGP-BN-CO_01142
CL1Contig127	HCGP-BN-CO_01143
CL1Contig128	HCGP-BN-CO_01144
CL1Contig129	HCGP-BN-CO_01145
CL1Contig13	HCGP-BN-CO_01146
CL1Contig130	HCGP-BN-CO_01147
CL1Contig131	HCGP-BN-CO_01148
CL1Contig132	HCGP-BN-CO_01149
CL1Contig133	HCGP-BN-CO_01150
CL1Contig134	HCGP-BN-CO_01151
CL1Contig135	HCGP-BN-CO_01152
CL1Contig136	HCGP-BN-CO_01153
CL1Contig137	HCGP-BN-CO_01154
CL1Contig138	HCGP-BN-CO_01155
CL1Contig139	HCGP-BN-CO_01156
CL1Contig14	HCGP-BN-CO_01157
CL1Contig140	HCGP-BN-CO_01158
CL1Contig141	HCGP-BN-CO_01159
CL1Contig142	HCGP-BN-CO_01160
CL1Contig143	HCGP-BN-CO_01161
CL1Contig144	HCGP-BN-CO_01162
CL1Contig145	HCGP-BN-CO_01163
CL1Contig146	HCGP-BN-CO_01164
CL1Contig147	HCGP-BN-CO_01165
CL1Contig148	HCGP-BN-CO_01166
CL1Contig149	HCGP-BN-CO_01167
CL1Contig15	HCGP-BN-CO_01168
CL1Contig150	HCGP-BN-CO_01169
CL1Contig151	HCGP-BN-CO_01170
CL1Contig152	HCGP-BN-CO_01171
CL1Contig153	HCGP-BN-CO_01172
CL1Contig154	HCGP-BN-CO_01173
CL1Contig155	HCGP-BN-CO_01174
CL1Contig156	HCGP-BN-CO_01175
CL1Contig157	HCGP-BN-CO_01176
CL1Contig158	HCGP-BN-CO_01177
CL1Contig159	HCGP-BN-CO_01178
CL1Contig16	HCGP-BN-CO_01179
CL1Contig160	HCGP-BN-CO_01180
CL1Contig161	HCGP-BN-CO_01181
CL1Contig162	HCGP-BN-CO_01182
CL1Contig163	HCGP-BN-CO_01183
CL1Contig164	HCGP-BN-CO_01184
CL1Contig165	HCGP-BN-CO_01185
CL1Contig166	HCGP-BN-CO_01186
CL1Contig167	HCGP-BN-CO_01187
CL1Contig168	HCGP-BN-CO_01188
CL1Contig169	HCGP-BN-CO_01189
CL1Contig17	HCGP-BN-CO_01190
CL1Contig170	HCGP-BN-CO_01191
CL1Contig172	HCGP-BN-CO_01192
CL1Contig173	HCGP-BN-CO_01193
CL1Contig174	HCGP-BN-CO_01194
CL1Contig176	HCGP-BN-CO_01195
CL1Contig177	HCGP-BN-CO_01196
CL1Contig178	HCGP-BN-CO_01197
CL1Contig179	HCGP-BN-CO_01198
CL1Contig18	HCGP-BN-CO_01199
CL1Contig180	HCGP-BN-CO_01200
CL1Contig182	HCGP-BN-CO_01201
CL1Contig183	HCGP-BN-CO_01202
CL1Contig184	HCGP-BN-CO_01203
CL1Contig185	HCGP-BN-CO_01204
CL1Contig188	HCGP-BN-CO_01205
CL1Contig189	HCGP-BN-CO_01206
CL1Contig19	HCGP-BN-CO_01207
CL1Contig190	HCGP-BN-CO_01208
CL1Contig20	HCGP-BN-CO_01209
CL1Contig21	HCGP-BN-CO_01210
CL1Contig22	HCGP-BN-CO_01211
CL1Contig23	HCGP-BN-CO_01212
CL1Contig24	HCGP-BN-CO_01213
CL1Contig25	HCGP-BN-CO_01214
CL1Contig3	HCGP-BN-CO_01215
CL1Contig30	HCGP-BN-CO_01216
CL1Contig33	HCGP-BN-CO_01217
CL1Contig39	HCGP-BN-CO_01218
CL1Contig41	HCGP-BN-CO_01219
CL1Contig42	HCGP-BN-CO_01220
CL1Contig43	HCGP-BN-CO_01221
CL1Contig44	HCGP-BN-CO_01222
CL1Contig45	HCGP-BN-CO_01223
CL1Contig48	HCGP-BN-CO_01224
CL1Contig49	HCGP-BN-CO_01225
